
	Console			Probe  1									Probe  2									Probe  3									Probe  4									Probe  5									Probe  6									Probe  7									Probe  8									IO  1								
	Mode	Total Amps		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	-	Output	-	Max	Min	
	RUN	0.1		175.1	0	    	A-F	5.6	0.07	175.2	175.0		174.9	0	    	A-F	6.4	0.10	175.1	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
Tue Sep 17 14:30:03 2019	RUN	0.1		174.3	0	    	A-F	6.4	0.08	175.1	174.3		175.0	0	    	A-F	6.8	0.11	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.5	0	    	A-F	4.8	0.06	175.7	174.5		175.1	0	    	A-F	6.4	0.10	175.1	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.2	0	    	A-F	6.0	0.08	175.4	174.8		175.1	0	    	A-F	6.4	0.10	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.2	0	    	A-F	5.2	0.06	175.3	175.2		175.0	0	    	A-F	6.4	0.10	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.0	0	    	A-F	6.0	0.08	175.2	174.8		175.0	0	    	A-F	6.8	0.10	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.2	0	    	A-F	6.0	0.08	175.3	174.2		175.1	0	    	A-F	6.0	0.09	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.4	0	    	A-F	5.2	0.06	175.6	174.6		174.9	0	    	A-F	6.4	0.10	175.1	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.1	0	    	A-F	5.6	0.07	175.4	174.8		175.0	0	    	A-F	6.8	0.11	175.2	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.1	0	    	A-F	5.6	0.07	175.4	175.0		175.1	0	    	A-F	6.0	0.09	175.2	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.1	0	    	A-F	5.6	0.07	175.1	174.8		174.9	0	    	A-F	6.4	0.10	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.2	0	    	A-F	5.2	0.06	175.4	175.1		175.0	0	    	A-F	6.8	0.11	175.1	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.9	0	    	A-F	6.0	0.08	175.2	174.8		175.0	0	    	A-F	6.8	0.11	175.2	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.3	0	    	A-F	5.2	0.06	175.3	174.6		175.2	0	    	A-F	6.0	0.09	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.0	0	    	A-F	6.0	0.08	175.4	174.9		175.0	0	    	A-F	6.4	0.10	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.1	0	    	A-F	5.6	0.07	175.3	175.0		175.0	0	    	A-F	6.8	0.11	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.5	0	    	A-F	4.8	0.06	175.5	174.6		175.1	0	    	A-F	6.4	0.10	175.2	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.3	0	    	A-F	5.2	0.06	175.6	175.3		175.1	0	    	A-F	6.0	0.09	175.1	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.7	0	    	A-F	6.0	0.08	175.3	174.7		175.0	0	    	A-F	6.8	0.11	175.1	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.9	0	    	A-F	6.0	0.08	174.9	174.6		175.1	0	    	A-F	6.4	0.10	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.6	0	    	A-F	4.8	0.06	175.6	174.8		175.0	0	    	A-F	6.4	0.10	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.3	0	    	A-F	4.8	0.06	175.7	175.3		175.0	0	    	A-F	6.8	0.11	175.2	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.0	0	    	A-F	6.0	0.08	175.3	175.0		175.2	0	    	A-F	6.0	0.09	175.2	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.7	0	    	A-F	6.0	0.08	175.2	174.7		175.0	0	    	A-F	6.4	0.10	175.2	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.7	0	    	A-F	6.0	0.08	174.8	174.7		175.0	0	    	A-F	6.8	0.11	175.1	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.5	0	    	A-F	4.8	0.06	175.6	174.8		175.1	0	    	A-F	6.4	0.10	175.1	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.8	0	    	A-F	5.6	0.07	175.5	174.8		175.1	0	    	A-F	6.0	0.09	175.2	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.0	0	    	A-F	6.0	0.08	175.0	174.7		175.0	0	    	A-F	6.4	0.10	175.1	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.7	0	    	A-F	6.0	0.08	175.1	174.6		174.9	0	    	A-F	6.8	0.11	175.1	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		175.4	0	    	A-F	5.2	0.06	175.4	174.6		175.0	0	    	A-F	6.8	0.11	175.2	174.9		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
	RUN	0.1		174.8	0	    	A-F	6.0	0.08	175.7	174.8		175.2	0	    	A-F	6.4	0.10	175.2	174.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	0	    		0001		26.0	26.0	
